scenario,load_mean_mw,load_max_mw,load_min_mw,load_std_mw,load_peak_ratio,n_timesteps,peak_hour,reactive_burden,gen_mean_mw,gen_max_mw,gen_std_mw,ramp_mean_mw,ramp_max_mw,high_util_pct,imbalance_mean,imbalance_max,voltage_dev_mean,voltage_dev_max,difficulty_score,difficulty_label
0162,256.7,313.7,203.7,21.76,1.222,8065,19.3,0.7,261.58,318.2,22.18,1.74,9.1,52.32,4.88,12.9,79.5833,141.1,0.4496,medium
0163,256.72,310.2,203.2,22.99,1.2083,8065,19.2,0.7,261.63,315.6,23.48,1.67,8.7,37.59,4.91,12.6,79.5833,141.1,0.4298,medium
0164,256.29,311.7,196.8,22.22,1.2162,8065,19.3,0.7001,261.21,320.8,22.65,1.75,9.0,43.99,4.92,11.3,79.5833,141.1,0.4734,medium
0165,257.85,314.4,201.5,21.9,1.2193,8065,19.3,0.7001,262.78,324.7,22.33,1.68,10.6,43.84,4.94,12.7,79.5833,141.1,0.5107,medium
0166,257.36,312.4,201.7,22.0,1.2139,8065,19.2,0.7,262.25,318.7,22.39,1.65,8.8,32.03,4.89,11.6,79.5833,141.1,0.4044,medium
0167,257.94,306.7,203.5,22.16,1.189,8065,19.2,0.7001,262.84,314.4,22.6,1.73,8.3,48.38,4.91,12.8,79.5833,141.1,0.4422,medium
0168,256.22,320.7,192.6,23.17,1.2517,8065,19.4,0.7,261.1,327.4,23.62,1.67,9.8,38.41,4.89,12.6,79.5833,141.1,0.4862,medium
0169,257.39,316.0,200.1,21.13,1.2277,8065,19.2,0.7,262.3,324.2,21.54,1.76,8.6,47.75,4.91,12.2,79.5833,141.1,0.4318,medium
0170,256.55,309.9,196.1,22.99,1.2079,8065,19.3,0.6999,261.46,317.7,23.45,1.7,8.6,39.45,4.91,12.1,79.5833,141.1,0.4023,medium
0171,256.46,318.7,199.1,23.29,1.2427,8065,19.3,0.7,261.31,324.4,23.69,1.72,9.8,39.54,4.86,12.6,79.5833,141.1,0.4757,medium
0172,256.44,310.2,203.0,21.18,1.2097,8065,19.2,0.7,261.32,317.1,21.58,1.68,7.8,56.86,4.88,12.0,79.5833,141.1,0.411,medium
0173,255.41,312.4,176.7,23.01,1.2231,8065,19.2,0.7,260.29,315.9,23.47,1.71,9.1,39.43,4.88,12.1,79.5833,141.1,0.4459,medium
0174,258.12,314.1,199.6,23.03,1.2169,8065,19.2,0.7,263.03,322.2,23.49,1.72,8.2,37.35,4.9,13.7,79.5833,141.1,0.423,medium
0175,256.46,312.8,207.5,22.49,1.2197,8065,19.2,0.7001,261.38,320.1,22.95,1.69,8.1,31.27,4.92,12.5,79.5833,141.1,0.4363,medium
0176,255.32,314.1,204.5,22.38,1.2302,8065,19.3,0.7001,260.17,321.4,22.84,1.73,8.7,55.55,4.85,11.8,79.5833,141.1,0.4841,medium
0177,256.58,308.3,194.3,22.98,1.2016,8065,19.3,0.7,261.47,315.4,23.43,1.71,8.2,45.02,4.9,15.2,79.5833,141.1,0.4252,medium
0178,257.4,313.3,207.6,22.15,1.2172,8065,19.2,0.7,262.38,319.4,22.6,1.72,10.2,42.62,4.98,12.5,79.5833,141.1,0.4838,medium
0179,256.54,312.3,198.7,22.82,1.2174,8065,19.2,0.7,261.4,315.8,23.26,1.72,9.0,47.63,4.87,12.1,79.5833,141.1,0.4495,medium
0180,256.28,308.7,203.2,22.46,1.2045,8065,19.3,0.6999,261.16,314.5,22.93,1.67,9.7,55.81,4.88,11.8,79.5833,141.1,0.439,medium
0181,255.81,312.0,199.2,22.64,1.2197,8065,19.3,0.7,260.68,319.7,23.05,1.74,8.8,46.48,4.88,12.0,79.5833,141.1,0.4443,medium
0182,257.3,320.1,207.1,22.6,1.2441,8065,19.3,0.7,262.25,324.5,23.03,1.68,9.5,37.56,4.95,12.4,79.5833,141.1,0.4786,medium
0183,256.57,316.2,208.2,22.51,1.2324,8065,19.2,0.7001,261.48,322.8,22.99,1.7,8.7,56.97,4.92,11.8,79.5833,141.1,0.5087,medium
0184,255.74,315.0,197.4,23.04,1.2317,8065,19.3,0.7001,260.65,322.0,23.47,1.69,8.7,52.8,4.92,12.4,79.5833,141.1,0.5088,medium
0185,256.73,314.6,204.9,22.37,1.2254,8065,19.3,0.7,261.68,323.4,22.79,1.77,8.9,54.26,4.95,11.7,79.5833,141.1,0.4796,medium
0186,256.78,306.5,197.5,22.88,1.1936,8065,19.3,0.7,261.69,312.7,23.3,1.74,8.8,46.45,4.91,13.1,79.5833,141.1,0.4361,medium
0187,256.03,319.8,185.2,23.97,1.2491,8065,19.2,0.7,260.91,327.2,24.45,1.7,9.0,32.06,4.89,12.5,79.5833,141.1,0.4674,medium
0188,257.79,312.1,198.0,22.96,1.2107,8065,19.3,0.7,262.73,318.2,23.42,1.72,9.2,44.5,4.94,11.8,79.5833,141.1,0.4632,medium
0189,257.05,310.1,202.2,23.23,1.2064,8065,19.2,0.7001,261.94,316.1,23.7,1.73,9.3,44.86,4.89,12.4,79.5833,141.1,0.4828,medium
0190,256.25,306.0,199.2,22.45,1.1942,8065,19.3,0.7,261.12,312.2,22.89,1.69,9.5,45.17,4.88,11.6,79.5833,141.1,0.4347,medium
0191,255.36,310.7,200.5,21.94,1.2167,8065,19.3,0.7,260.21,315.4,22.39,1.68,9.5,48.38,4.85,13.5,79.5833,141.1,0.4419,medium
0192,255.59,308.4,200.0,21.64,1.2066,8065,19.2,0.7001,260.51,314.9,22.06,1.71,10.7,47.72,4.92,11.6,79.5833,141.1,0.5013,medium
0193,255.9,308.5,200.7,22.91,1.2056,8065,19.4,0.7,260.76,315.3,23.34,1.69,9.3,44.85,4.87,14.3,79.5833,141.1,0.4432,medium
0194,255.66,311.8,201.6,22.67,1.2196,8065,19.2,0.7,260.53,317.4,23.1,1.68,8.9,51.37,4.86,12.0,79.5833,141.1,0.4511,medium
0195,256.79,310.5,198.2,22.13,1.2092,8065,19.3,0.7,261.69,315.4,22.58,1.68,8.8,47.28,4.91,12.1,79.5833,141.1,0.4374,medium
0196,257.15,306.7,203.3,22.04,1.1927,8065,19.4,0.7001,262.09,312.8,22.46,1.68,8.6,39.94,4.94,11.7,79.5833,141.1,0.4413,medium
0197,256.22,308.4,204.6,22.55,1.2037,8065,19.4,0.7,261.11,315.1,22.98,1.7,8.7,34.17,4.89,12.2,79.5833,141.1,0.4075,medium
0198,255.88,310.3,202.7,22.27,1.2127,8065,19.4,0.7,260.76,317.4,22.67,1.72,9.0,47.71,4.88,11.2,79.5833,141.1,0.4398,medium
0199,256.15,309.6,196.7,22.29,1.2086,8065,19.2,0.7,261.04,314.9,22.72,1.67,8.6,33.24,4.89,12.0,79.5833,141.1,0.403,medium
0200,255.04,302.2,190.6,22.17,1.1849,8065,19.2,0.7001,259.92,306.6,22.6,1.7,9.9,46.42,4.89,12.3,79.5833,141.1,0.4655,medium
0201,255.29,308.1,202.0,22.77,1.2069,8065,19.4,0.6999,260.15,315.8,23.19,1.7,8.2,48.38,4.86,11.5,79.5833,141.1,0.3934,medium
0202,256.37,305.4,200.7,21.38,1.1913,8065,19.4,0.7,261.26,312.1,21.8,1.74,8.5,55.87,4.9,11.9,79.5833,141.1,0.419,medium
0203,256.87,311.0,202.5,21.9,1.2107,8065,19.3,0.7,261.76,316.4,22.31,1.72,9.2,41.36,4.89,12.1,79.5833,141.1,0.4271,medium
0204,256.74,310.9,200.9,21.78,1.2109,8065,19.3,0.7001,261.64,316.8,22.21,1.77,10.5,48.92,4.9,11.9,79.5833,141.1,0.4995,medium
0205,257.74,320.7,204.1,23.31,1.2443,8065,10.0,0.7,262.67,327.3,23.77,1.74,8.1,50.65,4.93,12.6,79.5833,141.1,0.4794,medium
0206,256.04,314.1,199.7,23.13,1.2268,8065,19.2,0.7,260.92,320.2,23.56,1.67,8.6,43.2,4.89,12.4,79.5833,141.1,0.4495,medium
0207,255.92,312.6,198.5,22.02,1.2215,8065,19.2,0.7,260.8,319.8,22.45,1.65,8.4,40.15,4.89,12.2,79.5833,141.1,0.4173,medium
0208,257.24,318.1,197.4,23.1,1.2366,8065,19.2,0.7,262.14,324.5,23.55,1.73,8.0,40.94,4.9,12.1,79.5833,141.1,0.4415,medium
0209,257.17,312.9,198.4,22.22,1.2167,8065,19.3,0.7,262.08,319.3,22.69,1.67,9.0,36.26,4.92,13.1,79.5833,141.1,0.4304,medium
0210,256.31,312.5,205.2,22.62,1.2192,8065,19.4,0.7,261.16,317.5,23.08,1.8,11.3,53.25,4.85,13.0,79.5833,141.1,0.5037,medium
0211,256.66,314.9,199.2,21.92,1.2269,8065,19.2,0.7,261.57,319.9,22.36,1.72,8.6,39.83,4.91,14.0,79.5833,141.1,0.4288,medium
0212,258.43,314.3,199.2,23.51,1.2162,8065,19.3,0.7001,263.38,322.7,23.98,1.73,9.5,48.44,4.95,13.3,79.5833,141.1,0.5216,medium
0213,256.16,304.2,203.5,21.36,1.1875,8065,19.2,0.7,261.06,311.6,21.79,1.67,8.1,49.7,4.9,12.4,79.5833,141.1,0.3951,medium
0214,256.85,305.9,198.2,22.53,1.191,8065,19.3,0.7,261.74,312.8,23.0,1.7,9.0,45.46,4.9,12.6,79.5833,141.1,0.4284,medium
0215,255.76,313.9,208.6,21.86,1.2273,8065,19.3,0.7001,260.68,319.8,22.3,1.77,9.1,46.24,4.92,12.8,79.5833,141.1,0.4826,medium
0216,257.77,313.1,202.6,22.37,1.2147,8065,19.2,0.7,262.69,319.5,22.82,1.7,8.3,44.03,4.92,11.2,79.5833,141.1,0.4308,medium
0217,255.92,311.9,195.5,23.48,1.2188,8065,19.3,0.7,260.82,318.4,23.96,1.7,8.1,48.87,4.9,12.4,79.5833,141.1,0.4516,medium
0218,255.73,314.8,201.4,22.04,1.231,8065,19.3,0.7,260.59,321.5,22.42,1.7,8.0,34.69,4.86,12.7,79.5833,141.1,0.3978,medium
0219,256.08,309.4,206.8,22.75,1.2082,8065,19.3,0.6999,260.93,315.3,23.18,1.72,8.7,42.12,4.86,12.3,79.5833,141.1,0.393,medium
0220,256.84,313.0,197.7,21.78,1.2187,8065,19.2,0.7,261.75,318.4,22.22,1.72,9.2,48.8,4.92,12.3,79.5833,141.1,0.4533,medium
0221,255.85,307.6,198.5,22.53,1.2023,8065,19.2,0.7,260.76,314.5,22.99,1.72,9.4,54.01,4.91,12.6,79.5833,141.1,0.4647,medium
0222,255.65,312.9,200.1,21.92,1.2239,8065,19.3,0.7001,260.55,317.2,22.37,1.69,8.6,49.04,4.91,13.3,79.5833,141.1,0.4727,medium
0223,257.06,315.6,201.8,23.18,1.2277,8065,19.4,0.7,261.96,321.4,23.64,1.73,9.3,51.32,4.9,12.0,79.5833,141.1,0.4846,medium
0224,255.8,304.9,197.5,22.75,1.1919,8065,19.3,0.7,260.72,312.4,23.19,1.72,8.9,54.83,4.91,13.4,79.5833,141.1,0.451,medium
0225,256.8,313.6,197.0,23.04,1.2212,8065,19.2,0.7001,261.77,321.2,23.52,1.7,9.1,41.43,4.97,13.1,79.5833,141.1,0.5007,medium
0226,256.95,310.8,207.2,22.45,1.2096,8065,19.2,0.7,261.84,317.3,22.91,1.72,7.9,43.57,4.89,12.0,79.5833,141.1,0.4108,medium
0227,256.89,305.6,204.4,22.64,1.1896,8065,19.2,0.7,261.83,314.4,23.12,1.76,9.1,47.89,4.95,12.9,79.5833,141.1,0.4489,medium
0228,256.74,309.5,204.0,22.77,1.2055,8065,19.3,0.7,261.64,313.8,23.2,1.73,8.4,49.82,4.9,11.9,79.5833,141.1,0.4384,medium
0229,257.83,309.9,202.4,22.08,1.2019,8065,19.2,0.7,262.78,317.2,22.54,1.76,9.1,48.0,4.95,11.9,79.5833,141.1,0.4494,medium
0230,256.34,314.6,199.4,23.66,1.2273,8065,19.4,0.7,261.21,321.9,24.12,1.66,7.8,52.63,4.87,12.1,79.5833,141.1,0.4538,medium
0231,255.69,303.1,202.1,22.05,1.1854,8065,19.3,0.7001,260.59,309.8,22.51,1.65,9.9,39.14,4.9,12.8,79.5833,141.1,0.4526,medium
0232,256.88,308.9,196.8,22.65,1.2025,8065,19.3,0.7,261.78,316.9,23.07,1.69,9.4,35.04,4.9,12.9,79.5833,141.1,0.4278,medium
0233,257.45,317.4,204.8,23.23,1.2329,8065,19.3,0.7,262.35,323.0,23.68,1.75,8.6,53.92,4.91,13.0,79.5833,141.1,0.4815,medium
0234,256.13,317.9,202.5,22.0,1.2412,8065,19.3,0.7,261.04,324.1,22.46,1.71,8.4,38.64,4.91,12.7,79.5833,141.1,0.4342,medium
0235,255.54,310.6,197.8,22.09,1.2155,8065,19.2,0.7001,260.42,315.8,22.52,1.68,9.3,46.79,4.89,13.4,79.5833,141.1,0.475,medium
0236,255.3,318.8,200.6,21.53,1.2487,8065,19.5,0.7,260.2,324.2,21.93,1.7,9.9,35.92,4.9,13.5,79.5833,141.1,0.4575,medium
0237,256.46,309.8,202.3,22.71,1.208,8065,19.3,0.7,261.34,318.3,23.14,1.72,8.9,42.29,4.88,12.4,79.5833,141.1,0.4307,medium
0238,258.16,313.1,195.9,23.32,1.2128,8065,19.3,0.7,263.07,318.6,23.78,1.67,9.9,42.18,4.91,11.6,79.5833,141.1,0.4738,medium
0239,256.66,309.4,194.6,22.67,1.2055,8065,19.2,0.7,261.52,315.5,23.11,1.68,8.7,40.52,4.87,12.5,79.5833,141.1,0.4178,medium
0240,256.33,314.8,191.7,22.9,1.2281,8065,19.3,0.7001,261.24,322.1,23.37,1.75,9.2,46.4,4.91,11.9,79.5833,141.1,0.4999,medium
0241,256.0,318.1,199.7,22.71,1.2426,8065,19.3,0.7001,260.88,325.6,23.14,1.7,8.7,31.04,4.88,12.3,79.5833,141.1,0.4596,medium
0242,255.94,313.5,201.3,22.12,1.2249,8065,19.3,0.6999,260.83,321.5,22.56,1.72,8.6,44.59,4.89,12.2,79.5833,141.1,0.4058,medium
0243,257.74,308.0,201.5,22.99,1.195,8065,19.2,0.7,262.65,312.1,23.44,1.73,9.6,52.87,4.91,12.2,79.5833,141.1,0.4688,medium
0244,256.42,308.5,200.4,22.25,1.2031,8065,19.2,0.7001,261.31,313.7,22.7,1.71,8.2,51.82,4.89,11.9,79.5833,141.1,0.4536,medium
0245,255.77,313.3,201.3,22.84,1.2249,8065,19.2,0.6999,260.64,319.3,23.29,1.68,8.9,50.71,4.87,11.7,79.5833,141.1,0.4306,medium
0246,255.56,305.9,192.1,22.77,1.197,8065,19.4,0.7,260.44,311.7,23.21,1.7,9.3,42.33,4.88,14.0,79.5833,141.1,0.4322,medium
0247,255.45,321.8,200.9,23.57,1.2597,8065,9.8,0.7,260.3,328.3,24.01,1.67,8.7,38.14,4.85,12.4,79.5833,141.1,0.4637,medium
0248,256.29,306.2,203.3,22.63,1.1947,8065,19.3,0.7,261.19,313.2,23.06,1.67,9.8,54.52,4.9,14.7,79.5833,141.1,0.4677,medium
0249,255.74,307.3,197.6,22.39,1.2016,8065,19.4,0.7,260.62,314.2,22.78,1.65,8.3,53.61,4.88,12.3,79.5833,141.1,0.4292,medium
0250,256.82,311.5,191.2,22.06,1.2129,8065,19.2,0.7,261.69,319.0,22.5,1.71,8.8,53.17,4.87,12.6,79.5833,141.1,0.44,medium
0251,256.67,313.1,198.9,23.24,1.2199,8065,19.3,0.7,261.54,316.6,23.68,1.76,9.3,45.28,4.88,13.2,79.5833,141.1,0.4628,medium
0252,255.67,308.2,201.4,22.67,1.2055,8065,19.3,0.7001,260.58,315.8,23.12,1.67,8.1,47.28,4.92,13.4,79.5833,141.1,0.4591,medium
0253,256.18,308.4,194.8,22.77,1.2038,8065,19.4,0.7,261.09,315.5,23.22,1.72,8.5,51.7,4.91,12.2,79.5833,141.1,0.4455,medium
0254,256.54,308.1,191.1,21.96,1.201,8065,19.3,0.7001,261.44,313.7,22.43,1.76,9.4,53.63,4.9,12.9,79.5833,141.1,0.4798,medium
0255,256.89,316.5,196.2,23.01,1.2321,8065,19.3,0.7,261.78,322.1,23.46,1.71,8.1,48.22,4.9,11.3,79.5833,141.1,0.4528,medium
0256,256.84,304.6,192.8,22.52,1.1859,8065,19.4,0.7,261.76,312.2,22.97,1.72,9.6,56.66,4.92,12.2,79.5833,141.1,0.4642,medium
0257,255.89,304.2,200.2,22.75,1.1888,8065,19.2,0.7,260.74,310.6,23.22,1.67,8.5,43.52,4.85,12.0,79.5833,141.1,0.4025,medium
0258,257.22,309.7,204.8,23.11,1.204,8065,19.3,0.6999,262.11,315.6,23.56,1.73,10.4,44.48,4.89,12.9,79.5833,141.1,0.4453,medium
0259,257.03,314.8,200.0,23.51,1.2247,8065,19.3,0.7,261.95,323.5,23.94,1.71,9.5,45.9,4.91,13.0,79.5833,141.1,0.4842,medium
0260,256.24,310.8,196.0,22.25,1.2129,8065,19.3,0.6999,261.12,316.7,22.68,1.76,10.1,48.78,4.89,12.2,79.5833,141.1,0.4398,medium
0261,255.31,313.6,193.1,22.47,1.2283,8065,19.2,0.7,260.16,319.9,22.92,1.69,9.2,40.35,4.85,13.6,79.5833,141.1,0.4373,medium
0262,256.59,309.7,207.9,22.19,1.207,8065,19.3,0.7,261.47,316.1,22.63,1.69,8.5,42.52,4.89,12.9,79.5833,141.1,0.4158,medium
0263,255.88,316.0,200.1,23.13,1.2349,8065,19.2,0.7,260.73,323.1,23.59,1.74,8.2,53.8,4.85,13.5,79.5833,141.1,0.4568,medium
0264,256.71,308.2,204.6,22.57,1.2006,8065,19.3,0.7,261.59,313.8,23.04,1.72,9.5,58.16,4.88,12.6,79.5833,141.1,0.4665,medium
0265,256.21,305.5,194.9,21.68,1.1924,8065,19.3,0.7,261.14,310.8,22.13,1.72,9.9,59.69,4.93,11.7,79.5833,141.1,0.4706,medium
0266,255.22,310.9,199.0,22.96,1.2182,8065,19.4,0.6999,260.09,318.4,23.39,1.65,8.9,44.51,4.88,12.9,79.5833,141.1,0.4182,medium
0267,256.29,311.9,197.3,22.18,1.217,8065,19.3,0.7,261.19,321.6,22.59,1.69,8.1,35.07,4.9,12.2,79.5833,141.1,0.4027,medium
0268,254.92,314.2,200.6,22.08,1.2325,8065,19.3,0.7,259.8,321.0,22.52,1.71,8.0,59.18,4.88,12.6,79.5833,141.1,0.4518,medium
0269,256.47,314.1,200.8,22.83,1.2247,8065,19.3,0.7001,261.36,319.1,23.32,1.68,8.2,50.25,4.89,12.4,79.5833,141.1,0.4764,medium
0270,256.56,311.6,200.1,23.27,1.2145,8065,19.3,0.7,261.44,316.5,23.72,1.71,8.5,49.67,4.88,11.3,79.5833,141.1,0.4501,medium
0271,254.58,308.9,196.2,22.16,1.2134,8065,19.5,0.7001,259.44,316.0,22.58,1.74,8.5,48.96,4.87,12.5,79.5833,141.1,0.4559,medium
0272,257.46,316.4,200.4,22.96,1.2289,8065,19.3,0.7,262.41,324.2,23.45,1.66,10.0,47.48,4.95,11.8,79.5833,141.1,0.5029,medium
0273,257.88,311.5,206.0,22.59,1.2079,8065,19.3,0.7,262.78,316.9,23.02,1.78,9.6,55.3,4.91,13.1,79.5833,141.1,0.4768,medium
0274,256.92,303.7,202.5,22.77,1.1821,8065,19.4,0.7,261.84,311.9,23.22,1.75,8.8,61.61,4.92,12.1,79.5833,141.1,0.4573,medium
0275,258.6,316.4,203.7,23.13,1.2235,8065,19.3,0.7,263.52,321.7,23.57,1.78,8.9,51.33,4.93,11.4,79.5833,141.1,0.4796,medium
0276,256.52,315.6,193.3,23.83,1.2303,8065,19.4,0.7,261.4,320.8,24.31,1.7,10.6,40.47,4.88,13.3,79.5833,141.1,0.4996,medium
0277,255.99,308.4,186.9,22.97,1.2047,8065,19.2,0.7,260.86,314.2,23.43,1.7,8.4,49.35,4.87,12.0,79.5833,141.1,0.4324,medium
0278,256.59,306.4,191.1,23.48,1.1941,8065,19.2,0.7,261.48,311.3,23.93,1.75,8.3,53.43,4.89,13.5,79.5833,141.1,0.4434,medium
0279,257.21,308.2,202.0,21.5,1.1983,8065,19.2,0.7,262.15,314.9,21.92,1.71,9.4,51.83,4.95,12.2,79.5833,141.1,0.4513,medium
0280,255.59,305.1,197.8,22.15,1.1937,8065,19.3,0.7,260.47,313.0,22.63,1.74,8.4,57.0,4.88,12.0,79.5833,141.1,0.428,medium
0281,255.36,302.7,206.1,21.52,1.1854,8065,19.3,0.7,260.27,313.2,21.96,1.74,8.9,44.81,4.91,12.3,79.5833,141.1,0.4069,medium
0282,255.06,317.8,201.0,23.0,1.246,8065,19.3,0.7,259.94,325.6,23.5,1.69,8.7,37.33,4.88,12.9,79.5833,141.1,0.4503,medium
0283,255.36,315.1,200.3,22.78,1.234,8065,19.2,0.7,260.2,320.9,23.2,1.74,10.4,45.88,4.85,11.9,79.5833,141.1,0.4836,medium
0284,256.69,324.2,196.7,23.42,1.263,8065,19.3,0.6999,261.57,331.9,23.89,1.71,8.0,36.99,4.88,12.1,79.5833,141.1,0.4254,medium
0285,256.45,309.1,197.7,23.13,1.2053,8065,19.4,0.7001,261.38,315.9,23.59,1.74,9.2,51.58,4.92,12.7,79.5833,141.1,0.4988,medium
0286,256.84,313.0,203.5,22.8,1.2187,8065,19.2,0.7,261.74,318.7,23.29,1.74,9.3,43.46,4.9,11.4,79.5833,141.1,0.4565,medium
0287,253.91,306.6,198.5,22.54,1.2075,8065,19.3,0.7,258.76,313.5,22.97,1.71,8.3,40.99,4.85,11.4,79.5833,141.1,0.4041,medium
0288,255.21,310.4,199.7,21.81,1.2163,8065,19.3,0.7001,260.13,317.1,22.23,1.73,8.5,62.85,4.92,12.4,79.5833,141.1,0.4921,medium
0289,255.8,319.0,194.9,23.06,1.2471,8065,19.4,0.7001,260.71,325.9,23.54,1.75,9.1,36.99,4.91,11.7,79.5833,141.1,0.4966,medium
0290,257.62,308.3,204.8,22.56,1.1967,8065,19.3,0.7,262.53,314.9,23.02,1.75,8.4,43.74,4.91,13.0,79.5833,141.1,0.4193,medium
0291,257.67,306.0,204.5,22.35,1.1876,8065,19.4,0.7,262.56,313.5,22.77,1.73,8.5,48.44,4.89,13.6,79.5833,141.1,0.415,medium
0292,255.43,312.5,199.7,22.64,1.2234,8065,19.3,0.7,260.33,318.0,23.06,1.69,8.1,31.75,4.9,13.3,79.5833,141.1,0.4086,medium
0293,257.2,308.0,201.9,22.37,1.1975,8065,19.3,0.7,262.17,314.4,22.81,1.73,9.7,46.77,4.97,12.0,79.5833,141.1,0.4668,medium
0294,257.55,318.4,205.5,22.52,1.2363,8065,19.2,0.6999,262.45,325.8,22.9,1.73,10.8,35.52,4.91,12.3,79.5833,141.1,0.4571,medium
0295,255.3,317.5,200.4,23.14,1.2436,8065,19.4,0.7,260.15,325.1,23.6,1.7,9.0,34.07,4.85,12.3,79.5833,141.1,0.4433,medium
0296,255.93,310.1,200.1,21.63,1.2117,8065,19.3,0.7,260.83,318.0,22.05,1.69,8.5,42.12,4.9,13.3,79.5833,141.1,0.4121,medium
0297,255.51,310.1,195.6,23.2,1.2137,8065,19.3,0.6999,260.37,316.3,23.66,1.74,9.0,40.91,4.86,13.1,79.5833,141.1,0.4087,medium
0298,255.95,306.9,198.5,23.44,1.199,8065,19.3,0.7,260.8,313.4,23.88,1.73,8.4,54.73,4.85,12.5,79.5833,141.1,0.4408,medium
0299,255.89,308.9,201.7,21.26,1.2072,8065,19.3,0.7,260.77,315.2,21.69,1.73,8.3,43.73,4.89,12.2,79.5833,141.1,0.3988,medium
0300,256.51,314.8,194.5,23.46,1.2272,8065,19.3,0.7002,261.43,317.0,23.87,1.73,8.3,44.12,4.92,11.8,79.5833,141.1,0.5153,medium
0301,255.54,306.0,199.9,21.4,1.1975,8065,19.4,0.7,260.42,310.8,21.81,1.69,9.2,42.58,4.88,12.1,79.5833,141.1,0.4087,medium
0302,257.27,311.8,199.2,23.13,1.212,8065,19.3,0.7001,262.19,319.6,23.57,1.66,8.6,39.57,4.93,12.6,79.5833,141.1,0.4703,medium
0303,257.38,316.6,206.0,22.05,1.2301,8065,19.4,0.7,262.31,326.1,22.47,1.73,8.5,46.97,4.93,12.6,79.5833,141.1,0.45,medium
0304,257.43,310.2,202.0,22.69,1.205,8065,19.3,0.7,262.35,316.1,23.12,1.69,8.3,47.5,4.92,11.7,79.5833,141.1,0.4353,medium
0305,257.12,306.9,207.7,22.61,1.1936,8065,19.2,0.7,262.02,312.1,23.09,1.77,10.5,54.32,4.91,12.3,79.5833,141.1,0.4842,medium
0306,256.55,313.2,202.0,22.95,1.2208,8065,19.2,0.7001,261.5,318.2,23.4,1.73,9.4,40.0,4.95,11.9,79.5833,141.1,0.4976,medium
0307,256.94,312.8,195.4,22.39,1.2174,8065,19.3,0.7,261.86,321.1,22.84,1.67,7.8,40.56,4.92,12.6,79.5833,141.1,0.4156,medium
0308,256.32,307.0,199.4,22.42,1.1977,8065,19.3,0.7,261.21,311.7,22.88,1.69,8.3,49.89,4.89,12.1,79.5833,141.1,0.4222,medium
0309,256.34,308.0,199.9,21.95,1.2015,8065,19.2,0.6999,261.22,313.9,22.38,1.75,8.5,55.26,4.88,12.7,79.5833,141.1,0.401,medium
0310,256.63,305.9,199.4,22.77,1.192,8065,19.4,0.7,261.52,312.2,23.22,1.65,7.9,50.56,4.89,13.5,79.5833,141.1,0.416,medium
0311,256.03,311.9,199.3,22.72,1.2182,8065,19.4,0.7,260.93,319.1,23.18,1.68,8.0,44.48,4.9,12.3,79.5833,141.1,0.4282,medium
0312,255.18,309.6,202.6,22.67,1.2133,8065,19.2,0.7,260.03,315.8,23.1,1.71,9.1,41.59,4.86,12.8,79.5833,141.1,0.4319,medium
0313,256.81,309.3,194.8,23.72,1.2044,8065,19.3,0.7001,261.73,315.1,24.21,1.68,8.7,49.85,4.92,12.4,79.5833,141.1,0.4934,medium
0314,256.65,310.2,203.2,21.71,1.2086,8065,19.3,0.7,261.55,314.1,22.17,1.71,9.1,45.75,4.9,12.2,79.5833,141.1,0.4312,medium
0315,257.19,307.3,201.2,22.77,1.1948,8065,19.4,0.7,262.09,312.6,23.21,1.73,8.9,53.28,4.9,12.1,79.5833,141.1,0.4479,medium
0316,255.9,308.3,190.8,23.08,1.2048,8065,19.3,0.7,260.77,312.2,23.51,1.7,8.1,41.6,4.88,14.4,79.5833,141.1,0.4153,medium
0317,256.18,310.2,202.8,23.07,1.2108,8065,19.3,0.7,261.06,316.1,23.52,1.71,8.9,49.71,4.88,12.1,79.5833,141.1,0.4529,medium
0318,257.75,310.1,201.4,23.1,1.2031,8065,19.2,0.7,262.65,316.1,23.55,1.73,8.2,43.66,4.91,11.8,79.5833,141.1,0.4283,medium
0319,257.21,307.1,202.2,21.36,1.194,8065,19.2,0.7001,262.14,312.0,21.8,1.77,8.4,49.3,4.93,13.5,79.5833,141.1,0.4423,medium
0320,256.61,312.1,201.7,23.6,1.2162,8065,19.2,0.7,261.49,315.1,24.07,1.7,9.8,52.39,4.88,11.6,79.5833,141.1,0.4905,medium
0321,256.27,312.2,206.1,22.82,1.2183,8065,19.3,0.7001,261.15,320.9,23.26,1.68,8.4,37.59,4.88,12.2,79.5833,141.1,0.4489,medium
0322,255.16,308.3,197.8,23.53,1.2082,8065,19.2,0.7,260.06,314.0,24.02,1.75,9.0,49.09,4.9,12.5,79.5833,141.1,0.4645,medium
0323,255.64,306.3,204.6,22.28,1.1982,8065,19.2,0.7,260.51,313.6,22.69,1.71,7.3,38.29,4.88,14.8,79.5833,141.1,0.3735,medium
0324,256.82,331.8,195.3,23.3,1.292,8065,19.2,0.7,261.73,341.0,23.79,1.73,9.4,30.35,4.92,13.3,79.5833,141.1,0.5025,medium
0325,256.33,315.1,195.1,22.18,1.2293,8065,19.4,0.6999,261.24,321.0,22.63,1.72,8.4,39.19,4.91,12.6,79.5833,141.1,0.4006,medium
